category,kokin_disposition,phase1_scope,rationale,source_id,inferred
Maps & Satellites,phase2,none,"Map view is explicitly outside the Phase 1 vertical slice. Planned as MapLibre plus pre-approved z0-z6 world PMTiles, which carry mandatory ODbL attribution. Satellite imagery archives are commercial or require accounts, so they stay an external handoff.",S-017;S-013;S-014,false
Geolocation,phase2,none,"Depends on the map layer and on image intelligence, both of which land after the slice. Kokin stores a geospatial-precision confidence dimension from the start so geolocated claims have somewhere honest to record uncertainty.",S-017,false
Image/Video,phase2,none,"Media intelligence - EXIF, pHash, near-duplicate clustering - is sequenced immediately after the graph view. Reverse image search against Google, Yandex, Bing and TinEye is out of scope as automated querying: see R-009 and docs/limitations/reverse-image.md.",S-017,false
Social Media,phase2,none,"Platform APIs are gated, paid, or prohibit automated collection. Phase 1 ships static HTTP fetch only, and every capture records capture_completeness=static_html_only so a partial snapshot is never mistaken for a full one.",S-017,false
People,phase2,none,"Username enumeration is the intended first connector after the slice, via a declarative WhatsMyName-style sweep. Blocked on D-012: the WhatsMyName dataset is CC BY-SA 4.0, so adapting it into our own connector format creates a ShareAlike obligation. holehe is rejected outright - GPL-3.0 and unmaintained since 2024-09-10.",S-017;S-009;S-008,false
Websites,phase1,"http_fetch connector, HTML extraction to observations","This is the vertical slice. Ingest one URL, preserve the capture and its integrity metadata, extract title, OG tags and mailto/domain mentions as located observations. Domain and infrastructure research (DNS, RDAP, crt.sh) follows in Phase 2.",S-017,false
Companies & Finance,out_of_scope,none,"Corporate registry coverage is jurisdiction-specific and mostly behind paid aggregators. Depending on a paid service for a core workflow is a stated Phase 1 non-goal. Import-only via the connector SDK remains available to users who have their own access.",S-017,false
Conflict,out_of_scope,none,"Conflict monitoring is a domain specialisation built on continuous collection at scale, which is a stated non-goal. Kokin is the workspace such data would be imported into, not the collector.",S-017,false
Transport,out_of_scope,none,"Flight and vessel tracking APIs are commercial with restrictive terms. Import-only.",S-017,false
Environment & Wildlife,out_of_scope,none,"Highly specialised datasets with no overlap with the Phase 1 reference workflow.",S-017,false
Archiving,phase1,"content-addressed encrypted blob store, capture preservation","Kokin's L0 provenance layer is archiving: BLAKE3 content addressing, hash-on-write, and append-only capture records. Third-party archive services such as the Wayback Machine are a Phase 2 connector, not a Phase 1 dependency.",S-017,false
Data Org & Analysis,phase1,"three-layer data model, entity resolution, search workbench, activity history","This is the category Kokin actually competes in, and the competitor matrix shows why: the incumbents collapse evidence and conclusions into one graph. Separating L0 provenance from the L2 analytical layer is the product thesis.",S-017,false
