source_id,title,publisher,url,accessed,type,method,notes
S-001,What is Maltego Graph Community Edition (CE)?,Maltego,https://docs.maltego.com/en/support/solutions/articles/15000018947-what-is-maltego-graph-community-edition-ce-,2026-08-12,vendor-doc,fetched,"Vendor documentation. States 10000 entities per graph and 24 results per Transform. Says nothing about commercial-use permission, contradicting third-party blogs that claim CE became commercially usable at 4.8.0; vendor doc preferred."
S-002,Maltego Pricing,Maltego,https://www.maltego.com/pricing/,2026-08-12,vendor-doc,search-summary,"Free Basic plan includes CE plus 200 monthly credits. Paid tier figures seen only via third-party summaries and are not relied on."
S-003,GitHub REST API repository metadata for alephdata/aleph,GitHub,https://api.github.com/repos/alephdata/aleph,2026-08-12,api,api-query,"Authoritative licence field. MIT, last push 2026-02-20, 2414 stars, not archived."
S-004,GitHub REST API repository metadata for smicallef/spiderfoot,GitHub,https://api.github.com/repos/smicallef/spiderfoot,2026-08-12,api,api-query,"MIT, last push 2026-04-13, 20218 stars."
S-005,GitHub REST API repository metadata for sherlock-project/sherlock,GitHub,https://api.github.com/repos/sherlock-project/sherlock,2026-08-12,api,api-query,"MIT, last push 2026-08-12, 89297 stars. Actively maintained."
S-006,GitHub REST API repository metadata for soxoj/maigret,GitHub,https://api.github.com/repos/soxoj/maigret,2026-08-12,api,api-query,"MIT, last push 2026-08-12, 36679 stars."
S-007,GitHub REST API repository metadata for laramies/theHarvester,GitHub,https://api.github.com/repos/laramies/theHarvester,2026-08-12,api,api-query,"licence field is null - no declared licence. Actively developed (push 2026-08-11) but legally unusable for redistribution."
S-008,GitHub REST API repository metadata for megadose/holehe,GitHub,https://api.github.com/repos/megadose/holehe,2026-08-12,api,api-query,"GPL-3.0, last push 2024-09-10 - roughly two years without a commit."
S-009,WhatsMyName LICENSE.md,Micah Hoffman / WebBreacher,https://github.com/WebBreacher/WhatsMyName/blob/main/LICENSE.md,2026-08-12,licence-file,api-query,"Retrieved via the GitHub licence API and base64-decoded. Verbatim: Creative Commons Attribution-ShareAlike 4.0 International. GitHub reports NOASSERTION because CC BY-SA is not in its detector set."
S-010,GitHub REST API repository metadata for tauri-apps/tauri,GitHub,https://api.github.com/repos/tauri-apps/tauri,2026-08-12,api,api-query,"Apache-2.0 reported as primary licence, 110148 stars, push 2026-08-12. Latest release tauri-v2.11.5 (2026-07-01)."
S-011,GitHub REST API repository metadata for electron/electron,GitHub,https://api.github.com/repos/electron/electron,2026-08-12,api,api-query,"MIT, 122462 stars. Licence is not the differentiator against Tauri; bundle size is."
S-012,GitHub REST API repository metadata for sqlcipher/sqlcipher,GitHub,https://api.github.com/repos/sqlcipher/sqlcipher,2026-08-12,api,api-query,"BSD-3-Clause, 7235 stars, push 2026-07-08. Permissive, so compatible with a source-available product."
S-013,GitHub REST API repository metadata for maplibre/maplibre-gl-js,GitHub,https://api.github.com/repos/maplibre/maplibre-gl-js,2026-08-12,api,api-query,"NOASSERTION from the detector; the project is BSD-3-derived from the pre-relicence Mapbox GL JS. Ship LICENSE.txt verbatim."
S-014,GitHub REST API repository metadata for protomaps/PMTiles,GitHub,https://api.github.com/repos/protomaps/PMTiles,2026-08-12,api,api-query,"NOASSERTION on the format repo. The format licence is separate from the ODbL obligations attaching to OpenStreetMap-derived tile data."
S-015,GitHub REST API release metadata for asg017/sqlite-vec,GitHub,https://api.github.com/repos/asg017/sqlite-vec/releases/latest,2026-08-12,api,api-query,"Latest release v0.1.9 published 2026-03-31. Apache-2.0. Still pre-1.0 roughly five months after that release."
S-016,GitHub REST API release metadata for pykeio/ort,GitHub,https://api.github.com/repos/pykeio/ort/releases/latest,2026-08-12,api,api-query,"Latest release v2.0.0-rc.13 published 2026-07-28. Apache-2.0. Thirteen release candidates and still no stable 2.0."
S-017,Toolkit Categories,Bellingcat,https://bellingcat.gitbook.io/toolkit/categories/all,2026-08-12,reference,fetched,"Twelve categories retrieved verbatim: Maps & Satellites, Geolocation, Image/Video, Social Media, People, Websites, Companies & Finance, Conflict, Transport, Environment & Wildlife, Archiving, Data Org & Analysis."
S-018,GitHub REST API repository metadata for osintbuddy/osintbuddy,GitHub,https://api.github.com/repos/osintbuddy/osintbuddy,2026-08-12,api,api-query,"licence field is null - no declared licence on the main application repo. Last push 2026-03-05. The separate osintbuddy/plugins repo is MIT."
S-019,GitHub REST API repository metadata for osintbuddy/plugins,GitHub,https://api.github.com/repos/osintbuddy/plugins,2026-08-12,api,api-query,"MIT, last push 2026-03-09. Default entities and transforms for OSINTBuddy."
