dependency,version,layer,purpose,license,license_ok,maintenance,approx_size,security_implications,replacement_strategy,adr,added
rusqlite,0.40.2,storage,Ergonomic SQLite bindings; provides the bundled-sqlcipher-vendored-openssl feature that gives us encryption at rest,MIT,yes,Actively maintained; frequent releases tracking upstream SQLite,~1MB crate; ~8MB compiled with bundled SQLCipher+OpenSSL,Parses untrusted-derived values but not untrusted file formats. SQL is always parameterised; no string-built queries outside the SQLCipher PRAGMA key path (which cannot be bound and is escaped by doubling quotes).,libsql-rusqlite is an API-compatible fork; the store layer is behind kokin-store so callers never see rusqlite types,ADR-0003/ADR-0004,2026-08-12
thiserror,2.0.20,storage,Derive macro for error enums; keeps the wrong-passphrase vs corruption distinction expressible without hand-written Display impls,MIT OR Apache-2.0,yes,Actively maintained by dtolnay; de-facto standard,"<100KB, compile-time only",None at runtime — proc macro expands to plain impls,Hand-written Display/Error impls; mechanical to remove,-,2026-08-12
openssl-src,vendored,storage,Transitive: builds OpenSSL from source for SQLCipher's crypto,Apache-2.0 (OpenSSL 3.x),yes,Tracks upstream OpenSSL releases,"~60MB source, ~5MB linked static","Large C attack surface, but only the crypto primitives are reached — no TLS stack is used by the storage layer. Security updates require a dependency bump and a release.","Switch to bundled-sqlcipher against a system OpenSSL, or re-open ADR-0004",ADR-0004,2026-08-12
tauri,2.x,shell,"Desktop shell using the OS webview; provides window management, IPC, and the permission system",MIT OR Apache-2.0,yes,"Actively maintained, 2.x stable",~15MB app baseline,"The webview renders our own bundled assets only, under a strict CSP. Untrusted collected HTML is never rendered here — it goes through sanitisation into a sandboxed iframe.","Electron (rejected, ADR-0001) — would require rewriting the shell layer only, not the kokin-* crates",ADR-0001,2026-08-12
serde,1.x,shell,Serialisation for Tauri IPC payloads,MIT OR Apache-2.0,yes,Actively maintained; de-facto standard,<500KB,"Deserialises IPC input from our own frontend. Typed structs, no arbitrary-type deserialisation.",No practical alternative; universal in the Rust ecosystem,-,2026-08-12
svelte,5.x,ui,"UI framework; compiles away rather than shipping a runtime, keeping the bundle small and large evidence tables fast",MIT,yes,Actively maintained,~10KB runtime,Renders application-controlled data. Collected content is escaped by default; dangerous HTML injection points are forbidden by review and CI.,React or Vue; would require rewriting the UI layer only,ADR-0001,2026-08-12
vite,6.x,ui,Frontend build tool and dev server,MIT,yes,Actively maintained,"dev-only, not shipped",Build-time only. Supply-chain risk is managed by npm ci against a committed lockfile.,Any bundler; mechanical swap,-,2026-08-12
argon2,0.5.3,keys,Argon2id password-based key derivation; turns a user passphrase into the key-encrypting key,MIT OR Apache-2.0,yes,RustCrypto project; widely used and audited-adjacent. Steady release cadence.,<200KB compiled; runtime memory cost is the tuned 64MiB per derivation,"Processes the user's own passphrase, not attacker-controlled input. Parameters are pinned in a versioned profile so a defaults change cannot silently strand existing cases. Verified byte-identical to the reference C implementation via a known-answer test.",Any RFC 9106 Argon2id implementation; the KAT makes a swap verifiable rather than a leap of faith,ADR-0004,2026-08-12
chacha20poly1305,0.11.0,keys,XChaCha20-Poly1305 AEAD used to wrap the case master key under the KEK and the recovery key,MIT OR Apache-2.0,yes,RustCrypto project; actively maintained,<150KB compiled,"The 192-bit extended nonce means random nonces need no counter state, removing a whole class of nonce-reuse bugs. AEAD binds ciphertext to the case id and KDF profile via AAD, so a wrapped key cannot be transplanted between cases.","aes-gcm from the same project; would require re-wrapping existing keys, so treat as a format migration",ADR-0004,2026-08-12
zeroize,1.9.0,keys,Clears key material from memory on drop; derive feature provides ZeroizeOnDrop,MIT OR Apache-2.0,yes,RustCrypto project; stable and slow-moving by design,negligible,"Reduces how long keys linger in memory. Does not defend against a live-process memory read, and the module documents that rather than implying otherwise.","Hand-written Drop impls using volatile writes; error-prone, which is why the crate exists",-,2026-08-12
